"CUENTA","GANACIA","TOTALCAMPANAS","PARTICIPACION"
"124,026","57,947.72",164,0.01
"124,031","224,983.49",192,0.17
"124,046","28,932.47",196,0.04
"124,062","43,634.92",178,0.02
"124,068","113,007.14",203,0.18
"124,076","358,076.88",203,0.15
"124,079","53,086.89",170,0.01
"124,084","377,093.87",202,0.17
"124,095",-892.49,188,0.01
"124,099","11,343.49",163,0.17
"124,101","69,225.16",200,0.06
"124,109","30,125.5",158,0.01
"124,111","10,505.06",199,0
"124,116","476,780.08",203,0.18
"124,120","215,995.32",196,0.17
"124,134","985,611.81",203,0.12
"124,142","100,245.28",203,0.04
"124,148","1,076,658.39",203,0.18
"124,150","193,886.13",197,0.03
"124,154","238,311.78",202,0.1
"124,158","262,787.02",203,0.18
"124,170","197,893.26",202,0.18
"124,182","1,098,697.25",203,0.18
"124,185","-12,812.31",203,0.07
"124,200","3,055.75",160,0.07
"124,211","40,442.97",178,0.02
"124,219","10,341.66",203,0.01
"124,228","180,141.38",203,0.15
"124,231","72,380.03",158,0.17
"124,244","4,046.8",170,0.01
"124,248","12,049.56",150,0
"124,250","24,144.21",177,0.02
"124,255","255,623.45",203,0.07
"124,263","1,556,161.44",203,0.09
"124,273","37,456.74",187,0.01
"124,288","83,752.23",171,0.17
"124,309","17,161.83",178,0.03
"124,312","61,004.11",193,0.02
"124,319","35,512.07",6,1
"124,320","31,229.43",163,0.04
"124,327","23,969.69",152,0.02
"124,328","116,681.37",158,0.13
"124,339",9.57,197,0
"124,345","-1,707.96",2,0.5
"124,358","1,877,612.98",199,0.2
"124,374","666,023.44",203,0.18
"124,378","21,103.82",18,0.22
"124,390","6,276.62",164,0.01
"124,395","196,663.01",203,0.17
"124,396","82,031.09",203,0.06
"124,397","53,982.32",203,0.01
"124,404","-2,037.5",2,1
"124,408","792,400.67",203,0.07
"124,414","21,397.68",203,0.05
"124,432","8,565.08",200,0
"124,438","260,255.66",199,0.12
"124,463","143,113.18",203,0.02
"124,469","8,485.93",155,0
"124,476","1,120,806.24",203,0.18
"124,485","62,582.09",4,0.75
"124,493","59,148.09",177,0.01
"124,498","59,510.27",154,0.18
"124,500","388,846.89",203,0.18
"124,505","230,079.39",178,0.19
"124,512","49,241.12",203,0.16
"124,514","-1,507.35",1,1
"124,518","4,017.11",156,0
"124,532","136,207.17",185,0.09
"124,540","24,710.17",187,0.02
"124,541","24,797.08",160,0.15
"124,547",-305.92,177,0
"124,555","359,407.87",202,0.18
"124,559","2,721,168.62",203,0.18
"124,568","140,624.62",202,0.03
"124,580","152,857.87",203,0.05
"124,582","57,022.88",158,0.04
"124,585","250,844.31",203,0.18
"124,589","4,678.8",151,0.03
"124,601","122,114.12",203,0.01
"124,616","55,955.69",181,0.06
"124,619","195,258.8",177,0.06
"124,621","1,402,742.55",201,0.2
"124,626","221,614.32",180,0.06
"124,644","99,720.07",202,0.18
"124,650","82,162.48",180,0.03
"124,654","642,237.41",202,0.18
"124,671","196,834.83",22,0.2
"124,673","542,664",202,0.18
"124,676","978,415.18",202,0.18
"124,683","92,810.69",156,0.02
"124,684",-710.34,179,0.02
"124,707","60,432.31",164,0.15
"124,715","3,715.23",163,0.02
"124,716","12,894.37",3,0.02
"124,737","48,889.53",184,0.03
"124,739","275,125.69",202,0.18
"124,742","114,347.48",201,0.13
"124,776","519,150.93",202,0.15
"124,782","1,378.74",58,0.04
"124,784","433,408.35",202,0.18
"124,809","16,452.08",189,0.05
"124,812","1,127,760.24",202,0.18
"124,819","17,366.37",187,0.06
"124,823","19,611.18",3,1
"124,824","-13,067.86",163,0.07
"124,826","2,495.72",188,0
"124,842","-2,082.41",201,0.03
"124,849","94,423.45",202,0.05
"124,865","92,839.66",202,0.05
"124,866","297,105.21",202,0.17
"124,867","488,118.29",196,0.13
"124,877","31,911.5",182,0.01
"124,878","94,764.84",162,0.03
"124,911","58,615.89",199,0.07
"124,921","11,464.3",160,0.03
"124,948","14,969.01",181,0.01
"124,954","337,568.59",202,0.17
"124,957","187,200.49",202,0.06
"124,964","31,627.25",161,0.15
"124,985","882,623.53",202,0.18
"124,993","-14,586.29",194,0.04
"125,004","4,746.05",179,0.07
"125,006","39,267.6",190,0.01
"125,008","12,079.57",159,0.15
"125,010","160,106.47",202,0.03
"125,018","900,915.54",202,0.18
"125,019","213,179.7",202,0.08
"125,022","389,629.12",202,0.18
"125,033","479,177.79",117,0.19
"125,050","455,926.42",202,0.18
"125,054","166,762.3",202,0.18
"125,055","1,112,615.47",202,0.18
"125,059","38,148.88",156,0.01
"125,062","12,498.42",202,0.01
"125,067","53,861.66",165,0.05
"125,070","292,732.95",179,0.14
"125,084","135,634.72",198,0.1
"125,089","232,182.45",82,0.2
"125,090","43,012.99",148,0.16
"125,101","174,220.75",202,0.06
"125,108","2,280.63",119,0
"125,123","3,830.44",53,0.01
"125,126","484,005.17",202,0.18
"125,129","408,245.24",202,0.18
"125,146","77,980.16",171,0.01
"125,158","335,010.32",188,0.17
"125,174","2,851.43",171,0.01
"125,175","30,535.1",10,1
"125,178","60,871.12",202,0.01
"125,194","191,087.33",160,0.01
"125,214","22,154.74",3,0.33
"125,215","14,753.12",156,0.12
"125,217","14,685.07",187,0
"125,221","573,261.48",202,0.18
"125,230","4,565.28",2,1
"125,235","3,512.56",159,0.12
"125,239","12,251.97",4,1
"125,241","1,103.29",124,0.01
"125,262","187,328.18",192,0.09
"125,266","11,139.59",188,0
"125,271","472,973.59",202,0.18
"125,272","171,936.18",37,0.09
"125,277","-2,604.65",1,1
"125,298","1,062,678.5",202,0.18
"125,305","127,577.46",188,0.04
"125,316","60,774.15",171,0.1
"125,317","294,483.76",202,0.15
"125,323","413,649.07",202,0.18
"125,325","-3,013.61",198,0
"125,329","98,011.96",202,0.05
"125,342","-4,508.01",188,0.01
"125,343","64,304.73",202,0.01
"125,361","1,507.64",155,0
"125,371",-18.82,154,0
"125,379","130,334.56",158,0.01
"125,388","67,287.93",202,0.1
"125,398","-2,508.99",159,0.01
"125,427","54,773.64",162,0.18
"125,451","165,679.16",174,0.17
"125,454","55,209.27",202,0.17
"125,469","535,308.28",202,0.18
"125,470","-3,546.34",153,0.02
"125,481","1,257.02",201,0
"125,506","219,299.02",192,0.17
"125,510","2,793.26",167,0
"125,513","96,157.04",201,0.14
"125,525","137,806.95",200,0.13
"125,526","11,423.63",199,0.01
"125,550","373,614.97",202,0.16
"125,553","4,873.41",149,0.01
"125,558","60,011.48",170,0.02
"125,565",978.1,179,0.01
"125,570","14,461.01",149,0.02
"125,574","310,294.26",202,0.17
"125,590","40,702.15",157,0.1
"125,592","190,694.13",202,0.18
"125,609","447,717.65",202,0.18
"125,621","2,364.84",169,0
"125,640","46,793.56",200,0.09
"125,654","578,843.8",200,0.19
"125,670","263,505.77",174,0.18
"125,673","4,695.75",175,0.01
"125,733","66,752.53",199,0.15
"125,761","979,296.8",201,0.04
"125,782","631,877.62",200,0.09
"125,788","338,427.47",201,0.2
"125,790","695,466.16",201,0.16
"125,801","26,861.95",151,0
"125,806","100,885.78",24,0.21
"125,820","552,849.53",195,0.19
"125,830","45,846.79",185,0.01
"125,870","5,421,084.7",201,0.2
"125,872","111,812.32",194,0.18
"125,874","296,674.41",166,0.18
"125,877","218,743.37",201,0.05
"125,894","110,442.43",201,0.09
"125,909","5,405.35",180,0.02
"125,912","668,671.61",201,0.2
"125,915","2,196.83",201,0.02
"125,916","2,386.94",162,0
"125,918",450.09,153,0.02
"125,932","268,300.74",201,0.1
"125,941","111,976.55",201,0.02
"125,964","46,565.17",161,0.01
"125,965","407,607.82",201,0.19
"125,966","110,386.55",152,0.04
"125,983","35,521.1",158,0.09
"125,989","2,825.58",163,0.01
"126,015","5,800.64",189,0.01
"126,027","9,854.38",201,0.02
"126,029","40,128.21",156,0.15
"126,031","448,594.16",201,0.2
"126,040","606,316.16",201,0.19
"126,046","959,497.6",171,0.18
"126,053","-1,910.12",1,1
"126,071","571,567.42",201,0.2
"126,078","67,169.09",201,0.07
"126,082","6,648.16",152,0.02
"126,093","93,619.55",198,0.08
"126,116","356,848.32",201,0.1
"126,120","337,756.93",201,0.16
"126,123",-377.51,156,0
"126,125","18,854.87",201,0.02
"126,160","406,242.45",201,0.19
"126,166","1,078.74",179,0.01
"126,172","39,697.69",178,0.02
"126,183",763.1,155,0
"126,215","281,322.42",96,0.18
"126,218","1,200,270.92",201,0.18
"126,222","35,403.99",150,0.09
"126,223","144,328.73",201,0.2
"126,234","284,612.26",201,0.05
"126,236","379,023.03",201,0.07
"126,245","171,945.83",201,0.08
"126,246","78,241.44",16,0.15
"126,262","259,368.61",201,0.2
"126,271","2,056,714.59",201,0.2
"126,278","73,205.61",201,0.05
"126,313","62,672.9",155,0.14
"126,319","144,445.3",166,0.12
"126,321","2,434.16",166,0
"126,349","2,283,520.1",201,0.2
"126,361","-6,493.93",195,0.03
"126,364","290,631.41",183,0.12
"126,386","120,106.79",201,0.02
"126,392","126,571.13",103,0.13
"126,400","81,398.44",187,0.01
"126,402","243,556.45",194,0.18
"126,403","4,529.17",185,0.01
"126,412","143,139",162,0.03
"126,426","468,275",201,0.16
"126,427","628,932.23",201,0.16
"126,433","1,105,299.04",201,0.2
"126,434","6,839.79",154,0.02
"126,446","139,207",201,0.12
"126,458","663,680.02",191,0.19
"126,477","685,476.85",201,0.2
"126,485","7,047.59",147,0.05
"126,489","193,711.32",201,0.19
"126,503","207,595.13",194,0.16
"126,512","172,670.49",195,0.05
"126,525","85,042.26",187,0.12
"126,530","22,257.83",167,0.01
"126,531","13,173.2",164,0.01
"126,542","50,105.7",177,0.02
"126,548","8,486.29",159,0.02
"126,566","57,967.2",197,0.02
"126,579","1,506.77",164,0.03
"126,607","175,668.1",172,0.12
"126,622","5,976.03",160,0.02
"126,626","297,161.2",172,0.06
"126,627",37.03,201,0.01
"126,632","100,871.14",184,0.01
"126,641","266,109.95",201,0.19
"126,648","5,502.22",172,0.01
"126,658","5,877.78",180,0.04
"126,665","1,164,850.1",201,0.2
"126,676","132,946.97",199,0.08
"126,695","13,557.53",193,0.04
"126,698",985.45,155,0.03
"126,705","167,139.36",182,0.16
"126,706","61,314.89",159,0.19
"126,709","67,513.71",196,0.06
"126,722","4,435.05",171,0.12
"126,727","30,411.68",200,0.07
"126,729","624,716.75",200,0.06
"126,740","237,445.28",200,0.13
"126,751","349,599.1",27,0.25
"126,778","49,181.16",147,0.09
"126,780","766,149.44",154,0.08
"126,796","53,664.92",189,0.05
"126,802","437,870.53",188,0.07
"126,806","59,245.23",162,0.01
"126,823","152,458.49",194,0.19
"126,836","1,318.33",146,0.15
"126,841","133,756.45",199,0.1
"126,863","408,077.58",200,0.11
"126,864","148,811.49",195,0.04
"126,873","759,752.43",200,0.2
"126,886","169,761.51",200,0.19
"126,889","123,412.64",26,0.2
"126,890","230,152.65",200,0.11
"126,905","12,435.84",1,1
"126,923","6,209.81",194,0.02
"126,925","2,325.43",183,0
"126,938","278,510.28",123,0.09
"126,948","1,229,945.41",199,0.2
"126,968","16,767.64",2,0.5
"126,970","25,103.85",200,0.04
"126,973","470,286.7",39,0.11
"127,014","12,263.98",4,0.75
"127,042","980,945.21",193,0.19
"127,052","480,573.06",190,0.19
"127,053","1,199,418.59",200,0.2
"127,056","268,876.88",172,0.02
"127,061","-27,001.18",197,0.07
"127,064","308,960.72",175,0.04
"127,068","52,687",176,0.01
"127,073","3,527.68",200,0.03
"127,083","435,879.57",193,0.19
"127,127","-2,503.88",133,0
"127,134","9,959",153,0
"127,135","14,596.58",147,0.01
"127,136","123,402.56",200,0.04
"127,142","41,807.16",200,0.08
"127,143","284,634.97",198,0.09
"127,146","17,601.27",148,0.01
"127,153","43,262.89",200,0.14
"127,162","205,814.72",157,0.1
"127,163","387,451.2",198,0.17
"127,164","71,885.24",198,0.02
"127,169","442,024.27",199,0.06
"127,173","205,365.13",187,0.03
"127,175","-4,533.65",196,0.02
"127,185","1,249,022.45",199,0.2
"127,186","26,921.33",174,0.02
"127,187","202,050.81",199,0.17
"127,189","6,285.08",197,0.03
"127,191","399,180.62",199,0.19
"127,200","7,290.89",153,0.09
"127,201","27,565.3",168,0.07
"127,203","23,840.04",192,0.01
"127,208","2,697,443.7",199,0.19
"127,218","69,833.52",179,0.02
"127,228","146,185.72",162,0.06
"127,230","301,285.03",199,0.2
"127,237","304,129.26",199,0.19
"127,246","41,718.26",120,0.03
"127,274","552,525.44",192,0.19
"127,278","4,443.05",133,0.02
"127,286","843,309.47",199,0.2
"127,291","123,319.89",188,0.17
"127,298","14,349.18",154,0
"127,318","21,029.04",165,0.12
"127,338","-2,526.16",126,0.01
"127,366","94,363.76",28,0.2
"127,371","357,488.78",187,0.18
"127,385","43,742.6",199,0.02
"127,393","43,461.08",159,0.19
"127,408","314,919.8",164,0.05
"127,436","5,977.62",1,1
"127,440","10,260.4",199,0.01
"127,442","25,724.68",156,0.09
"127,452","-49,251.89",169,0.02
"127,488","1,942.05",191,0.01
"127,493","68,212.39",153,0.18
"127,508","-21,584.53",162,0.01
"127,543","179,221.25",199,0.08
"127,546","880,254.83",199,0.19
"127,553","410,224.97",199,0.11
"127,559","290,962.51",199,0.19
"127,569",271.34,161,0.01
"127,583","67,635.19",148,0.03
"127,592","3,712,164.89",199,0.2
"127,610","4,494.05",151,0.01
"127,623","11,348.32",199,0.02
"127,624","480,354.84",199,0.17
"127,638","153,579.68",199,0.2
"127,647","3,761.05",160,0.01
"127,666","2,162.52",166,0.05
"127,685","75,053.52",199,0.18
"127,694","113,435.52",183,0.04
"127,696","46,379.33",197,0.03
"127,703","2,987.48",1,1
"127,704","49,260.94",196,0.03
"127,707","211,825.86",199,0.18
"127,712","-1,517.97",145,0.08
"127,718","1,199,077.55",199,0.2
"127,722","65,119.73",148,0.01
"127,736","1,056,501.02",182,0.05
"127,745","203,591.48",192,0.17
"127,752","439,216.65",199,0.11
"127,755","4,007.73",157,0
"127,756","-16,092.4",193,0.11
"127,764","414,589.67",196,0.05
"127,767","26,073.56",171,0.08
"127,781","245,356.72",171,0.19
"127,782","130,679.43",197,0.18
"127,787","368,706.25",197,0.09
"127,795","23,485.3",148,0.01
"127,800","257,393.75",198,0.19
"127,805","312,696.58",198,0.15
"127,809","1,529,999.38",198,0.19
"127,811","51,812.11",170,0.08
"127,815","381,738.26",198,0.19
"127,824","60,516.56",191,0.06
"127,831","102,742.23",198,0.16
"127,840","396,416.36",198,0.19
"127,858","361,710.72",198,0.19
"127,864","5,564.8",144,0.01
"127,887","1,031,200.17",198,0.1
"127,890","60,767.43",166,0.01
"127,893","12,756.02",144,0.02
"127,895","48,382.5",191,0.05
"127,900",707.17,186,0.01
"127,901","160,216.3",195,0.17
"127,902","42,103.49",198,0.04
"127,917","44,615.15",28,0.24
"127,919","18,352.37",3,0.67
"127,920","110,307.85",90,0.13
"127,934","279,116.8",198,0.19
"127,942","146,979.24",168,0.18
"127,951","113,794.1",150,0.03
"127,961","28,816.24",198,0.03
"127,962","9,315.94",145,0.01
"127,977","27,653.53",198,0.16
"127,989","-2,878.58",195,0.02
"127,994","-1,994.64",191,0
"128,012","65,471.05",94,0.18
"128,024","72,967.48",153,0.18
"128,026","439,162.35",198,0.19
"128,028","750,150.05",198,0.19
"128,030","1,127,082.96",198,0.19
"128,043","456,677.58",198,0.19
"128,049","33,871.88",158,0.02
"128,057","39,457.68",146,0
"128,061","6,943.3",5,0.05
"128,063","595,272.88",198,0.19
"128,065","478,312.83",198,0.19
"128,072","155,734.31",191,0.06
"128,084","4,027.72",16,0.02
"128,086","4,970.85",4,0.5
"128,104","1,490,322.16",198,0.19
"128,105","290,576.96",198,0.19
"128,109","10,458.24",173,0.04
"128,117","-1,033.85",160,0
"128,133","17,815.17",2,0.5
"128,160","105,323.26",185,0.11
"128,165","205,991.95",198,0.11
"128,171",-29.44,149,0.01
"128,174","9,321.21",147,0.01
"128,178",792.98,194,0.02
"128,190","95,276.57",196,0.01
"128,209","144,334.26",161,0.09
"128,217","194,240.31",198,0.1
"128,219","2,740.55",167,0.01
"128,222","36,279.97",189,0.01
"128,223","497,133.91",198,0.15
"128,224","24,706.13",152,0.1
"128,233","302,722.61",198,0.05
"128,234","139,776.61",184,0.04
"128,240","10,506.71",198,0.03
"128,241","62,222.21",198,0.13
"128,244","6,392.25",198,0.04
"128,283","25,921.42",146,0.18
"128,295","36,044.28",189,0.09
"128,299","171,607.5",198,0.02
"128,300","131,422.12",198,0.06
"128,316","4,846.18",158,0.07
"128,324",-253.21,189,0.01
"128,328","171,035.29",181,0.02
"128,356","413,669.01",198,0.19
"128,362","19,241.17",169,0.01
"128,363","294,644.44",198,0.19
"128,377","5,373.68",145,0.18
"128,381","1,180.76",162,0.01
"128,395","1,400.16",169,0
"128,415","159,932.65",189,0.16
"128,421","396,516.38",198,0.09
"128,422","265,808.33",198,0.18
"128,426","25,416.1",149,0.02
"128,428","4,758.14",185,0.01
"128,436","120,938.93",19,1
"128,437","77,516.11",198,0.07
"128,447","15,731.43",27,0.1
"128,453","-5,163.58",4,1
"128,463","96,893.99",158,0.03
"128,482","16,491.12",152,0.05
"128,483","397,313.66",196,0.08
"128,485","15,120.3",146,0.12
"128,488","60,056.29",196,0.03
"128,497","118,317.08",197,0.19
"128,498","19,945.36",172,0.01
"128,506","-2,948.3",165,0.04
"128,507","870,989.7",197,0.18
"128,510","304,195.94",197,0.18
"128,517","259,485.95",197,0.11
"128,527","50,661",175,0.02
"128,538","470,531.76",197,0.19
"128,552","6,920.24",197,0.01
"128,562","4,425.67",144,0.01
"128,569","6,225.11",167,0
"128,581","16,418.8",189,0.02
"128,596","506,133.55",197,0.08
"128,597","221,814.01",197,0.06
"128,605","5,988.53",192,0.03
"128,623","13,365.04",155,0.01
"128,626","508,067.12",197,0.19
"128,650","2,296.15",167,0.01
"128,651","42,825.76",153,0.07
"128,656","179,417.78",187,0.18
"128,661","1,129,597.74",197,0.19
"128,673","9,011.56",150,0.05
"128,678","354,569.39",180,0.15
"128,682","3,342.89",188,0.01
"128,688","299,650.51",197,0.16
"128,689","735,244.98",197,0.18
"128,703","901,299.68",197,0.19
"128,709","352,825.99",197,0.14
"128,722","457,441.43",197,0.14
"128,730","100,625.78",197,0.02
"128,733","686,117.38",192,0.19
"128,737","619,632.6",197,0.06
"128,739","72,942.14",197,0.02
"128,744","81,717.35",197,0.02
"128,750","770,182.81",197,0.19
"128,754","817,833.92",197,0.19
"128,762","21,498.59",196,0.01
"128,767","195,881.91",197,0.12
"128,774","403,654.59",197,0.19
"128,786","10,130.56",147,0.06
"128,799","90,730.21",153,0.09
"128,804","259,254.13",197,0.19
"128,806","1,281,778.49",197,0.19
"128,811","137,546.73",197,0.19
"128,819","473,908.09",162,0.05
"128,831","49,901.8",157,0.06
"128,834","10,708.74",194,0
"128,857","357,302.85",197,0.19
"128,870","553,772.49",197,0.1
"128,873","12,881.87",189,0
"128,888","91,227.46",197,0.03
"128,901","57,208.56",183,0.01
"128,902","10,734.13",164,0.03
"128,904","217,591.16",197,0.13
"128,906","1,019.89",194,0
"128,915","237,813.26",196,0.1
"128,917","191,055.93",170,0.08
"128,930","1,849.17",47,0.01
"128,940","101,346.88",177,0.11
"128,941","371,670.48",197,0.19
"128,942","746,360.84",197,0.17
"128,950","5,844.46",156,0.17
"128,959","12,774.18",159,0.01
"128,967",-30.15,165,0.1
"128,974","6,837.93",163,0.01
"128,994","386,522.83",197,0.15
"129,005","29,708.66",154,0.04
"129,010","746,663.44",197,0.19
"129,041","19,529.99",176,0.03
"129,049","315,926.11",197,0.1
"129,051","561,781.06",197,0.04
"129,065","664,940.53",197,0.06
"129,071","629,337.97",195,0.19
"129,072","210,511",197,0.16
"129,074","62,774.92",197,0.01
"129,081","318,438.49",13,1
"129,085","1,269.61",185,0
"129,092","121,641.57",172,0.09
"129,094","4,563.79",3,1
"129,110","39,594.98",158,0.05
"129,111","10,343.27",146,0.1
"129,131","179,281.78",197,0.13
"129,146","3,975.22",154,0.01
"129,163","9,362.49",148,0.01
"129,167","5,188.36",145,0.18
"129,171","9,689.67",193,0.02
"129,173",-231.64,150,0.01
"129,189","87,717.17",164,0.11
"129,192","514,266.41",189,0.18
"129,214","68,428.98",151,0.02
"129,215","-6,222.47",9,1
"129,233","411,754.42",197,0.19
"129,241","215,309.63",197,0.15
"129,247","106,599.92",184,0.07
"129,253","13,604.85",183,0.03
"129,257",944.43,17,0.11
"129,263","48,577.66",160,0.01
"129,264","126,338.35",196,0.17
"129,298","7,546.11",195,0.01
"129,299","161,308.66",188,0.07
"129,316","257,586.22",195,0.17
"129,331","877,943.5",196,0.19
"129,345","20,233.7",155,0.01
"129,348","33,018.88",149,0
"129,349","2,847.9",158,0.03
"129,352","239,069.52",196,0.12
"129,353","11,477.32",190,0
"129,363","320,396.12",189,0.11
"129,364","412,148.53",196,0.19
"129,373","29,375.7",196,0.06
"129,379","15,415.64",146,0
"129,381","48,228.46",196,0.03
"129,393","-1,002.49",149,0
"129,405","177,134.45",176,0.18
"129,416","248,253.42",152,0.19
"129,422","28,028.84",192,0.03
"129,429","977,637.43",196,0.19
"129,434","237,402.19",196,0.14
"129,442","23,016.25",196,0.02
"129,448","59,347.49",161,0.02
"129,449","242,863.54",196,0.03
"129,452","245,353.98",196,0.19
"129,454","280,790.62",168,0.18
"129,469","442,943.93",185,0.16
"129,473","6,223.88",169,0.05
"129,497","9,531.95",166,0
"129,502","268,631.54",159,0.09
"129,503","45,670.55",160,0.01
"129,510","403,455.89",196,0.19
"129,513","-1,935.58",183,0
"129,514","53,705.74",68,0.12
"129,521","322,708.06",196,0.19
"129,523","187,600.1",196,0.05
"129,531",644.98,1,1
"129,535","383,737.78",185,0.18
"129,537","1,215,090.41",196,0.17
"129,539","10,843.13",179,0.03
"129,541","493,849.04",196,0.19
"129,542","2,811.43",158,0.03
"129,543","148,877.54",196,0.05
"129,571","24,621.64",155,0.01
"129,576","770,088.94",196,0.17
"129,577","165,044.79",196,0.08
"129,582","518,156.23",196,0.17
"129,583","34,539.5",146,0.09
"129,587","244,575.08",184,0.16
"129,597","465,712.36",196,0.19
"129,617","1,014,206.84",196,0.19
"129,618",872.44,177,0.01
"129,628","1,928,032.53",196,0.19
"129,636","217,341.12",196,0.19
"129,640","946,233.53",196,0.19
"129,642","676,967.73",196,0.19
"129,649","428,754.35",196,0.14
"129,653","8,487.52",188,0.03
"129,661","174,891.21",194,0.19
"129,662","169,427.87",186,0.08
"129,673","730,345.71",196,0.19
"129,675","3,264.46",175,0.11
"129,677","1,207,534.88",196,0.19
"129,680","36,855.27",161,0
"129,693","29,455.96",157,0.09
"129,713","916,190.91",196,0.19
"129,738","139,781.05",156,0.02
"129,741","23,671.81",183,0.03
"129,755","1,835,941.51",196,0.19
"129,798",-786.54,196,0.01
"129,816","253,024.7",165,0.06
"129,837","4,489.12",153,0.04
"129,842","78,931.94",163,0.03
"129,851","560,972.52",189,0.05
"129,879",-105.36,1,1
"129,881","22,772.94",158,0.02
"129,893","233,193.35",196,0.17
"129,896","80,975.34",147,0.17
"129,924","958,310.47",196,0.16
"129,938","5,117.31",164,0.01
"129,942","7,658.93",175,0.03
"129,948","4,695.01",186,0
"129,960","30,688.88",185,0.01
"129,970","3,524.81",164,0
"129,971","235,448.7",174,0.06
"129,982","44,451.44",180,0.03
"129,993","457,307.67",196,0.19
"129,997","16,449.83",147,0.04
"130,005","91,681.41",196,0.08
"130,018","-14,972.67",151,0.02
"130,029","114,508.96",183,0.09
"130,033","23,794.81",196,0.06
"130,034","8,875.82",184,0.02
"130,038","667,977.3",136,0.19
"130,039","637,769.88",196,0.08
"130,041","8,188.12",190,0.08
"130,046","391,631.54",196,0.19
"130,072",-768.76,148,0.03
"130,073","68,087.71",196,0.01
"130,085","185,237.94",189,0.09
"130,089","17,044.01",194,0.04
"130,092","490,071.65",194,0.14
"130,112","175,831.97",186,0.05
"130,124","862,620.2",195,0.16
"130,125","4,488.34",148,0
"130,129","11,038.33",167,0.11
"130,137","905,064.55",195,0.1
"130,138","1,395.06",181,0
"130,150","2,264.27",141,0.03
"130,151","16,203.05",189,0.01
"130,160","26,902.45",194,0.04
"130,168","636,839.57",195,0.18
"130,170","916,398.32",195,0.19
"130,196","128,222.05",195,0.07
"130,212","180,780.58",195,0.17
"130,216","-1,107,055.7",192,0.01
"130,241","431,352.92",195,0.1
"130,244","130,300.07",165,0.18
"130,251","324,973.13",195,0.19
"130,256","249,581.53",191,0.18
"130,290","446,450.6",195,0.19
"130,293","1,026,575.13",195,0.19
"130,305","198,129.38",175,0.07
"130,312","915,686.41",190,0.18
"130,314","671,306.24",195,0.19
"130,327","219,763.54",195,0.04
"130,331","100,312.96",155,0.04
"130,334","9,689.72",182,0.05
"130,351","4,035.81",171,0
"130,359","290,124.68",177,0.18
"130,364","535,405.76",186,0.19
"130,374","39,213.48",195,0.04
"130,379",891.29,52,0.01
"130,384","11,095.5",154,0.01
"130,394","14,634.48",4,1
"130,396","14,012.71",147,0.02
"130,397","851,981.34",195,0.12
"130,406","7,903.2",179,0.01
"130,411","7,775.31",166,0
"130,414","267,068.08",171,0.02
"130,431",631.42,1,1
"130,450","975,332.25",195,0.16
"130,453","1,807,377.06",195,0.19
"130,486","6,767.2",169,0.01
"130,487","411,797.81",195,0.19
"130,494","202,827.98",195,0.08
"130,499","115,946.67",181,0.18
"130,506","11,790.47",146,0.01
"130,507","586,566.53",195,0.04
"130,510","321,722.25",182,0.1
"130,515","28,408.37",147,0.11
"130,523","783,286.63",195,0.19
"130,524","3,787.45",153,0
"130,526","139,839.04",195,0.17
"130,527","231,889.63",195,0.07
"130,537","214,611.29",195,0.05
"130,541","-3,714.43",1,1
"130,581","5,675.97",195,0
"130,598","220,246.39",195,0.1
"130,606","515,237.85",195,0.19
"130,614","51,415.29",167,0.06
"130,620","335,235.93",195,0.19
"130,623","1,429.92",180,0.01
"130,626","311,602.56",195,0.15
"130,628","-1,368.69",190,0.01
"130,633","84,630.81",157,0.01
"130,685","59,789.89",163,0.05
"130,688","47,491.27",169,0.02
"130,692","88,046.2",171,0.02
"130,694","52,116.58",157,0.08
"130,723","14,845.79",55,0.04
"130,725","95,702.84",165,0.03
"130,742","606,072.74",195,0.05
"130,745","219,573.85",169,0.12
"130,747","6,938.59",171,0.01
"130,752","37,602.95",146,0.15
"130,771","22,846.7",193,0.02
"130,791","72,412.08",193,0.01
"130,792","5,366.79",171,0.01
"130,799","744,102.49",194,0.15
"130,801","8,553.27",145,0.01
"130,825","1,369,937.69",194,0.12
"130,841","30,865.17",193,0
"130,842","217,080.26",166,0.12
"130,856","257,278.27",194,0.19
"130,860","80,656.23",149,0.06
"130,873","115,142.96",194,0.09
"130,876","442,419.8",194,0.19
"130,881","38,433.33",5,1
"130,888","536,787.56",194,0.12
"130,889","124,570.52",194,0.03
"130,890","3,067,358.62",194,0.19
"130,901","1,465,537.29",194,0.12
"130,905","166,476.68",108,0.08
"130,910","65,903.23",191,0.01
"130,919","569,694.6",194,0.18
"130,920","7,644.4",153,0
"130,930","493,543.12",194,0.19
"130,943","113,980.87",194,0.18
"130,951","346,042.49",186,0.11
"130,953","13,615.37",139,0.05
"130,955","77,180.99",159,0.04
"130,956","38,423.94",165,0.06
"130,958","70,933.24",162,0.11
"130,959","7,545",191,0
"130,960","-7,369.96",188,0.01
"130,967","72,705.81",144,0.02
"130,992","1,445.2",180,0.03
"130,997",627.68,153,0.1
"131,001","104,930.3",152,0.06
"131,018",451.67,173,0.03
"131,024","8,139.05",164,0.15
"131,026","627,385.19",194,0.11
"131,031","2,319.67",148,0.04
"131,035","182,034.51",194,0.19
"131,041","1,982,292.78",194,0.19
"131,052","195,163.18",193,0.1
"131,056","135,869.11",194,0.07
"131,076","434,124.93",194,0.19
