"CUENTA","GANACIA","TOTALCAMPANAS","PARTICIPACION"
"12,510","11,644.78",41,0.1
"12,511","6,883.06",4,0.03
"12,524","3,890,549.52",204,0.18
"12,526","5,541.7",44,0.11
"12,541","2,974.66",2,1
"12,545",634.96,4,1
"12,556","4,034.53",150,0.17
"12,560","126,321.21",204,0.08
"12,563","11,018.03",82,0.03
"12,564","16,205.14",5,0.8
"12,581","911,562.07",186,0.16
"12,582","-16,567.64",7,0.02
"12,597","3,091.09",63,0.07
"12,608","337,746.1",195,0.16
"12,625","7,818.06",65,0.06
"12,636","740,264.21",204,0.18
"12,641","632,923.11",128,0.18
"12,648",-348.17,1,1
"12,650","165,236.8",94,0.03
"12,684","19,540.32",21,0.19
"12,703","745,572.2",204,0.18
"12,715","264,148.17",195,0.06
"12,719","925,702.33",187,0.17
"12,728","858,842.13",204,0.18
"12,735","282,036.16",79,0.1
"12,746","14,075.94",4,0.75
"12,757","43,677.16",33,0.17
"12,758","18,134.89",7,1
"12,762","227,252.19",203,0.1
"12,775","333,214.07",204,0.18
"12,778","62,263.77",88,0.17
"12,789","469,152.03",205,0.18
"12,796","4,585.5",70,0.01
"12,797","731,391.97",144,0.2
"12,808","24,902.82",144,0.01
"12,856","377,420.82",153,0.13
"12,860","3,525.34",2,0.5
"12,867","3,571.77",1,1
"12,875","1,493,481.93",204,0.18
"12,877","57,031.55",158,0.03
"12,899","501,354.55",189,0.17
"12,913","226,253.7",125,0.2
"12,923","336,372.92",49,0.15
"12,928","23,800.15",4,0.05
"12,949","-2,762.85",74,0.01
"12,969","701,808.94",202,0.18
"12,994","58,775.61",19,0.19
"13,006",-850,2,1
"13,009","4,063.51",80,0.09
"13,028","234,772.01",69,0.22
"13,068","19,522.68",9,0.1
"13,071","134,415.52",15,1
"13,076","427,421.24",59,0.19
"13,093","70,937.78",170,0.06
"13,121","1,319,491.78",204,0.18
"13,144","14,119.45",6,1
"13,164","531,819.23",204,0.18
"13,165","14,437.79",7,0.86
"13,175","58,122.38",5,0.8
"13,180","398,148.52",49,0.23
"13,192","1,128.85",45,0.01
"13,218","1,839,355.74",205,0.19
"13,227","518,487.92",95,0.19
"13,231","992,917.54",169,0.18
"13,232","155,429.48",176,0.07
"13,258","607,705.98",125,0.12
"13,298","40,652.91",8,0.07
"13,300","708,223.46",204,0.18
"13,304","842,565.49",204,0.17
"13,307","78,342.17",180,0.1
"13,318","45,404.27",11,1
"13,345","197,747.85",204,0.18
"13,397","1,333.69",1,1
"13,410","2,502,081.63",204,0.18
"13,431","164,869.2",53,0.24
"13,444","362,973.52",204,0.18
"13,472","347,468.33",203,0.18
"13,474","30,765.88",2,1
"13,482","8,220.14",56,0.14
"13,483","38,263.66",3,1
"13,489","69,971.19",105,0.11
"13,490","205,850.95",125,0.17
"13,496","12,809.13",67,0.05
"13,530","110,898.27",31,0.27
"13,534","120,293.5",128,0.15
"13,538","23,153.31",60,0.02
"13,539",-95.27,149,0.01
"13,587","11,281.13",4,0.75
"13,602","52,655.89",10,1
"13,630","623,683.97",165,0.09
"13,655","3,036,325.56",204,0.18
"13,680","324,048.69",110,0.18
"13,682","-3,545.29",1,1
"13,689","316,243.48",101,0.08
"13,690","1,650.54",2,1
"13,699","115,553.94",14,1
"13,732","116,782.94",39,0.13
"13,733","1,443,175.34",204,0.18
"13,822","59,702.5",164,0.08
"13,835","114,270.64",81,0.15
"13,847","206,198.08",172,0.17
"13,852","454,825.4",59,0.19
"13,855","323,113.57",37,0.3
"13,862","86,527.98",204,0.07
"13,869","4,901.54",2,0.5
"13,873","2,387,577.92",204,0.18
"13,876","424,310.48",204,0.18
"13,895","179,810.66",17,0.17
"13,903","604,567.19",86,0.21
"13,911","55,990.05",11,0.91
"13,929","45,731.54",8,1
"13,938","3,171,087.4",204,0.18
"13,943","1,069,769.9",125,0.2
"13,980","20,413.72",9,0.04
"13,986","279,828.62",50,0.23
"13,996","5,789",2,1
"14,006",824.31,1,1
"14,014","154,843.3",33,0.28
"14,034","-14,939.8",3,1
"14,040","92,326.48",47,0.15
"14,060","90,620.33",151,0.15
"14,075","779,368.76",204,0.18
"14,077","345,245.82",205,0.18
"14,078",215.52,17,0.06
"14,084","251,621.15",10,0.9
"14,096","-5,049.18",44,0
"14,097","10,015.34",1,1
"14,103","-2,706.27",15,0.13
"14,115","67,606.8",32,0.15
"14,118","-16,852.87",7,0.86
"14,125","475,013.56",82,0.18
"14,150","2,674,960.48",204,0.18
"14,158","3,129.86",20,0.09
"14,169","733,292.97",155,0.18
"14,194","7,079,310.35",204,0.19
"14,195","315,413.02",204,0.18
"14,220","242,111.08",139,0.19
"14,238","14,392.25",4,1
"14,275","69,055.51",9,1
"14,282","5,947,726.3",205,0.19
"14,318","95,224.92",60,0.19
"14,324","494,714.46",127,0.16
"14,337","213,985.43",205,0.19
"14,352","26,255.31",9,0.1
"14,382","11,192.37",103,0.08
"14,388","349,768.89",95,0.19
"14,415","140,076.3",97,0.04
"14,416","5,760.14",2,0.5
"14,422","154,031.75",204,0.09
"14,434","507,162.02",77,0.19
"14,450","387,944.97",60,0.19
"14,465",-712.81,1,1
"14,474","734,745.53",204,0.18
"14,477","232,707.13",19,0.16
"14,478","34,984.43",6,0.07
"14,482","-2,126.64",1,1
"14,485","333,129.37",204,0.12
"14,491","19,991.27",4,1
"14,511","105,117.28",155,0.18
"14,516","498,929.24",77,0.19
"14,530","89,458.05",54,0.07
"14,549","22,859.97",123,0.11
"14,558","8,814.99",99,0.01
"14,575","488,666.3",126,0.18
"14,576","1,629.14",1,1
"14,588","184,462.81",204,0.15
"14,595","19,836.06",38,0.07
"14,604","5,108.86",199,0.14
"14,615","30,068.64",165,0.1
"14,655","7,888.86",187,0
"14,663","749,995.89",178,0.19
"14,671","405,296.25",204,0.15
"14,681","131,640.06",71,0.05
"14,689","22,702.24",3,0.67
"14,691","522,019.11",204,0.14
"14,695","432,740.81",40,0.2
"14,713","3,005.33",89,0.01
"14,714","137,209.26",9,0.89
"14,718","89,374.61",82,0.19
"14,720","6,790.64",4,1
"14,721","338,791.19",204,0.18
"14,726","50,024.89",38,0.11
"14,760","7,204.94",37,0.07
"14,774","389,201.95",198,0.18
"14,779","225,903.79",31,0.27
"14,805","609,287.56",204,0.18
"14,808","32,947.24",145,0.01
"14,821","283,210.79",112,0.18
"14,828","15,809.69",165,0.13
"14,829","78,055.25",106,0.14
"14,833","-2,782.36",1,1
"14,847","6,195.26",3,1
"14,856",292.14,121,0.04
"14,870","27,906.08",10,0.9
"14,884","869,439.19",204,0.18
"14,896","153,447.96",95,0.05
"14,938","55,745.46",12,0.92
"14,944","147,774.33",204,0.18
"14,946","-18,670.74",5,1
"14,948","4,113.7",149,0.01
"14,955","-6,635.04",4,1
"14,963","34,983.44",7,1
"14,994","4,592.72",1,1
"15,001","183,450.28",204,0.18
"15,005","608,484.26",204,0.17
"15,013","8,417.71",1,1
"15,031","634,073.44",204,0.18
"15,057","7,542.08",143,0.05
"15,104","2,867.43",6,1
"15,106","51,565.48",135,0.01
"15,111",-466.97,4,1
"15,134","335,557.06",204,0.18
"15,159","6,027.53",1,1
"15,175","138,177.29",103,0.14
"15,204","137,959.96",53,0.08
"15,226","552,069.5",48,0.22
"15,232","933,163.64",204,0.18
"15,237","506,293.52",111,0.18
"15,242","561,979.63",204,0.18
"15,243","-1,716.76",142,0.02
"15,245","1,152,246.99",204,0.18
"15,255","463,698.83",132,0.19
"15,262","2,509.8",201,0.07
"15,280","969,802.2",205,0.17
"15,309","147,959.37",204,0.08
"15,318","210,574.42",169,0.17
"15,333","205,243.59",45,0.22
"15,339","23,287.02",19,0.03
"15,347","4,949.5",152,0.15
"15,355","275,691.67",133,0.07
"15,367",375.37,2,1
"15,386","430,701.98",116,0.16
"15,404","-1,729.1",1,1
"15,421","-2,051.3",1,1
"15,423","968,711.74",204,0.17
"15,431","541,198.24",205,0.18
"15,444","266,562.6",204,0.17
"15,484","54,796.72",141,0.08
"15,487","179,611.36",204,0.18
"15,495","35,844.55",98,0.01
"15,498","203,782.14",59,0.17
"15,505","266,763.38",116,0.15
"15,510","12,415.3",4,1
"15,535","-1,541.61",2,0.5
"15,539","30,700.99",4,1
"15,558",-527.09,2,1
"15,582","36,362.05",5,0.06
"15,592","47,653.52",169,0.14
"15,628","139,086.01",45,0.21
"15,635","305,217.56",85,0.2
"15,638","61,528.68",164,0.18
"15,640","444,864.53",55,0.25
"15,662","5,834.42",49,0.16
"15,674","629,198.91",123,0.2
"15,700","29,602.97",18,0.18
"15,703","-1,171.19",1,1
"15,707","437,620.65",83,0.2
"15,746","8,339.91",3,1
"15,760","70,991.58",22,0.2
"15,777","399,729.68",204,0.18
"15,800","6,322.18",7,1
"15,823","36,632.71",203,0.07
"15,826","42,912.1",78,0.02
"15,828","90,974.6",62,0.14
"15,836","483,993.91",77,0.19
"15,842","6,313.72",1,1
"15,846","286,341.06",204,0.18
"15,855","712,682.13",147,0.18
"15,866","882,171.92",204,0.18
"15,869","91,916.41",20,0.14
"15,871","375,399.29",204,0.17
"15,879","17,806.33",113,0.02
"15,888","19,415.11",129,0.14
"15,894","414,571.65",202,0.17
"15,901","24,914.88",141,0.05
"15,930","111,955.95",33,0.16
"15,958","136,386.45",40,0.19
"15,960","-7,334.27",3,1
"15,962","36,226.49",55,0.15
"15,981","19,441.98",8,0.88
"15,982","108,468.76",16,0.56
"15,998","20,344.13",12,0.03
"16,014","1,101.36",1,1
"16,016","1,539,725.74",204,0.18
"16,032","152,631.15",36,0.31
"16,066","20,415.55",102,0.07
"16,067","12,154.21",3,0.67
"16,068","141,106.52",14,0.14
"16,080","163,366.43",35,0.27
"16,084",942.78,1,1
"16,096","15,810.85",6,0.83
"16,105","107,633.22",205,0.18
"16,161","362,326.48",204,0.18
"16,167","226,619.38",97,0.12
"16,172","455,477.35",199,0.18
"16,179","183,934.31",80,0.15
"16,196","4,611.51",151,0.13
"16,219","1,817,751.41",204,0.18
"16,224","462,761.46",67,0.21
"16,239","54,893.56",201,0.02
"16,251","552,334.97",204,0.18
"16,278","27,190.08",2,0.02
"16,282","1,515.02",1,1
"16,291","735,423.36",204,0.18
"16,305",814.12,184,0.06
"16,327","117,261.77",130,0.04
"16,338","105,767.77",126,0.16
"16,339","818,678.68",69,0.22
"16,340","5,798.04",164,0.07
"16,347","-8,295.87",6,1
"16,360","187,223.83",152,0.07
"16,366","2,371.82",1,1
"16,368","146,015.56",73,0.13
"16,371","47,033.71",13,1
"16,382","23,765.55",4,0.75
"16,384","87,746.82",204,0.16
"16,388","27,846.51",5,1
"16,396","86,232.13",17,0.71
"16,402","1,279,270.38",204,0.18
"16,404","26,091.27",20,0.2
"16,418","512,176.72",83,0.17
"16,423","507,063.86",60,0.2
"16,441","7,052.3",2,1
"16,470","817,303.47",139,0.19
"16,481","371,561.94",29,0.26
"16,485","96,192.69",40,0.14
"16,496","1,249,728.51",204,0.17
"16,504","27,812.79",7,1
"16,508","1,917.23",1,1
"16,516","99,032.06",154,0.17
"16,553","12,463.8",5,0.05
"16,559","156,494.88",54,0.25
"16,567","11,564",54,0.03
"16,584","950,070.87",175,0.19
"16,586","371,074.28",20,0.19
"16,606","2,413.36",2,0.5
"16,608","49,401.06",18,0.18
"16,611","210,849",45,0.21
"16,640","25,465.92",8,0.88
"16,641","426,829.86",204,0.18
"16,643","-12,422.63",2,0.02
"16,649","19,194.21",8,0.88
"16,653","129,210.48",194,0.18
"16,662","398,280.59",58,0.19
"16,676","14,173.03",6,0.83
"16,695","-1,130.93",78,0.03
"16,697","183,257.76",38,0.18
"16,714","412,477.93",118,0.11
"16,722","31,645.44",77,0.01
"16,730","22,797.19",135,0.03
"16,736","15,093.21",5,1
"16,747","1,543.34",112,0.05
"16,753","2,852,772.46",204,0.18
"16,755","10,063.57",13,0.92
"16,757","6,163.87",2,1
"16,764","1,488.41",1,1
"16,771","3,073.15",2,0.02
"16,774","255,747.57",147,0.16
"16,788","55,415.85",73,0.1
"16,790","183,946.28",198,0.18
"16,817","56,798.71",135,0.02
"16,826","17,005.49",9,1
"16,836","267,786.54",181,0.18
"16,849","30,923.86",58,0.12
"16,898","17,015.47",2,1
"16,907","2,338.57",1,1
"16,914","70,827.37",113,0.06
"16,921","29,682.03",5,1
"16,928",83.33,1,1
"16,936","128,978.96",10,1
"16,938","9,566.48",2,1
"16,940",-154.44,1,1
"16,967","2,725.7",106,0.01
"16,977","123,054.53",75,0.1
"16,982","115,290.15",204,0.15
"16,996","-3,066.5",5,0.6
"17,001","-5,866.16",41,0.01
"17,065","39,731.81",11,1
"17,070","12,806.5",4,1
"17,075","357,719.97",123,0.19
"17,101","5,191.08",4,0.75
"17,112","8,074.74",1,1
"17,125","1,478,516.66",204,0.18
"17,145","1,216,493.45",204,0.18
"17,153","9,835.79",1,1
"17,159","76,101.65",13,0.92
"17,181","443,141.27",130,0.18
"17,207","-1,118.66",156,0.04
"17,215","288,937.53",204,0.18
"17,216","437,930.5",70,0.22
"17,227","2,087.84",1,1
"17,249","633,985.92",115,0.19
"17,253","465,215.9",204,0.18
"17,259","6,527.37",16,0.16
"17,271","1,667.7",113,0.01
"17,283","933,021.82",204,0.18
"17,303","1,364,911.69",204,0.18
"17,317","40,810.23",12,0.92
"17,321","40,144.57",8,0.63
"17,336","28,964.35",6,0.5
"17,346","80,553.33",44,0.16
"17,355","48,807.25",7,1
"17,398","69,101.16",39,0.05
"17,421","13,055.28",5,0.8
"17,424","17,995.69",10,1
"17,427","22,384.96",22,0.06
"17,442","195,062.43",204,0.18
"17,489","553,629.37",134,0.19
"17,494","545,205.87",204,0.18
"17,503",-533.76,2,0.5
"17,524","128,274.29",26,0.14
"17,536","120,358.81",173,0.17
"17,538","7,479.58",3,1
"17,542","336,511.82",204,0.18
"17,575","206,428.41",35,0.16
"17,589","138,793.29",62,0.2
"17,612","3,546.35",18,0.08
"17,629","433,537.91",203,0.12
"17,653","142,076.16",43,0.21
"17,655","902,797.16",183,0.18
"17,656","2,606,641.72",204,0.18
"17,665","263,864.1",204,0.18
"17,685","204,108.62",204,0.15
"17,716","290,432.65",204,0.18
"17,720","15,876.67",29,0.15
"17,721","172,711.39",60,0.19
"17,726","15,349.97",80,0.04
"17,744","126,631.67",21,0.2
"17,776","650,031.47",51,0.24
"17,779","181,771.15",205,0.15
"17,791","32,443.13",3,0.67
"17,802","202,559.17",8,0.09
"17,824","338,516.27",196,0.17
"17,828","76,573.97",44,0.21
"17,836","553,420.29",159,0.19
"17,857","2,844,308.54",204,0.18
"17,867","65,616.01",182,0.11
"17,882","6,400.43",65,0.08
"17,902","20,155.93",1,1
"17,924","74,941.25",154,0.04
"17,942","163,669.06",116,0.04
"17,949","227,006.04",33,0.29
"17,954","138,954.92",86,0.03
"17,961",-395.06,1,1
"17,982","1,120,691.7",130,0.18
"17,990","103,617.23",163,0.16
"17,997","27,979.18",3,1
"18,011","3,026.73",157,0.03
"18,013","66,749.75",19,0.19
"18,026","326,304.4",191,0.16
"18,041","286,359.05",204,0.18
